num_epochs,accuracy,file_name
13,0.9662,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=1_width=null_filter=2_kernel=3_epochs=100_activationFunction=ada_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
14,0.9246,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=1_width=null_filter=2_kernel=3_epochs=100_activationFunction=sigmoid_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
37,0.9602,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=1_width=null_filter=2_kernel=3_epochs=100_activationFunction=arctan_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
27,0.9642,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=1_width=null_filter=2_kernel=3_epochs=100_activationFunction=tanh_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
24,0.9678,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=1_width=null_filter=2_kernel=5_epochs=100_activationFunction=ada_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
35,0.967,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=1_width=null_filter=2_kernel=5_epochs=100_activationFunction=sigmoid_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
36,0.967,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=1_width=null_filter=2_kernel=5_epochs=100_activationFunction=arctan_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
25,0.9596,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=1_width=null_filter=2_kernel=5_epochs=100_activationFunction=tanh_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
12,0.9622,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=1_width=null_filter=2_kernel=7_epochs=100_activationFunction=ada_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
26,0.9652,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=1_width=null_filter=2_kernel=7_epochs=100_activationFunction=sigmoid_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
15,0.965,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=1_width=null_filter=2_kernel=7_epochs=100_activationFunction=arctan_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
26,0.9694,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=1_width=null_filter=2_kernel=7_epochs=100_activationFunction=tanh_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
16,0.9706,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=1_width=null_filter=2_kernel=9_epochs=100_activationFunction=ada_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
37,0.9726,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=1_width=null_filter=2_kernel=9_epochs=100_activationFunction=sigmoid_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
17,0.9654,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=1_width=null_filter=2_kernel=9_epochs=100_activationFunction=arctan_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
24,0.9722,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=1_width=null_filter=2_kernel=9_epochs=100_activationFunction=tanh_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
12,0.9748,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=1_width=null_filter=2_kernel=11_epochs=100_activationFunction=ada_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
28,0.9768,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=1_width=null_filter=2_kernel=11_epochs=100_activationFunction=sigmoid_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
20,0.977,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=1_width=null_filter=2_kernel=11_epochs=100_activationFunction=arctan_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
13,0.966,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=1_width=null_filter=2_kernel=11_epochs=100_activationFunction=tanh_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
27,0.9746,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=1_width=null_filter=2_kernel=13_epochs=100_activationFunction=ada_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
28,0.9756,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=1_width=null_filter=2_kernel=13_epochs=100_activationFunction=sigmoid_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
